Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
19/2/2025,10.3,18.4,26.9,12.4,49.9,50.4,0,6.7,28.2,0,323.5,5.8,28.3
20/2/2025,10.5,18.4,28.4,13.7,52.6,53.4,0,4.8,24,0,327.3,5.6,28.1
21/2/2025,8.7,21.3,35.5,8.7,49.1,55.3,0,2.2,14.8,0,333,5,28.8
22/2/2025,14.2,28.5,41.5,3.5,30.7,35.8,0,5.7,37.4,0,295.8,5.8,30.8
23/2/2025,15.6,23.7,31,8.9,48.3,48.2,0,8.8,28.2,0,327,7.8,31.7
24/2/2025,11.1,20.3,30.3,-1.6,58.2,58.3,0,4,21.5,0,308.6,5.8,30
25/2/2025,11.3,22.4,34.9,21.8,51.8,55.4,0,2.6,19.8,0,292.9,5.4,30.6
26/2/2025,12.6,26.1,38.8,25.4,44,47.8,0,5.3,52.6,0,305.3,4.9,31.4
27/2/2025,16.2,25.1,35.9,24.6,52.3,54.9,0,4.5,24,0,269.5,6.9,32.1
28/2/2025,18.7,26.2,35.4,25.5,44.2,48.9,0,4.5,29.1,0,253.5,5.2,32.2
1/3/2025,14.3,21.5,29.5,21.5,58.5,59.8,0,4.5,25.7,0,166.9,5.5,30.2
2/3/2025,13.2,20.4,27.8,20.7,58.7,58.7,0,5.7,27.4,0,290.7,3.5,28.9
3/3/2025,11.8,19.7,30.5,19.9,46.8,47.9,0,4.7,29.1,0,301.1,5.4,28.8
4/3/2025,7.8,20.5,36.4,19.9,47.9,52.2,0,2.5,15.7,0,415.3,4.8,27.2
