Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
31/12/2023,17.2,18.2,19.2,18.5,60.7,61.6,1.4,6.3,19,0,0,,29.7
1/1/2024,12.1,23.7,32.1,22.1,51.5,63.8,0,4.4,25.7,0,360.6,6.3,30.3
2/1/2024,17.6,26.1,35.8,25.4,51,55.6,0,7.1,29.1,0,367,5.9,32
3/1/2024,16.3,21.8,28.1,21.2,72.4,78.4,0,4.3,24,0.2,109.7,6.9,29.3
4/1/2024,19,26.2,33.7,25,64.1,72,0,5.2,20.7,0,324.2,2.5,30.4
5/1/2024,21.1,27.5,36.8,25.2,52.4,67.3,0,3.9,18.2,0,256.8,6.4,32.4
6/1/2024,20.5,23.6,29.2,22.9,81.1,87.2,0,4.5,26.6,8.6,92.5,5.3,29.8
7/1/2024,18.4,24,32.2,23.9,83.3,85.8,0,6.3,42.5,1.2,218.6,1.8,28
8/1/2024,17.2,21.5,27.4,21.6,72.7,74.8,0.5,9.7,29.9,0,302.7,4.2,28.2
9/1/2024,15,23.2,32.4,22.4,61.6,68.9,0,4.1,23.2,0,381.1,5.1,30.9
10/1/2024,14.3,23.4,32.9,22.9,55.3,59.7,0,6.7,28.2,0,384.4,6.4,32.1
11/1/2024,13.7,23.4,34.2,22,54.6,65.4,0,3.7,16.5,0,386.5,6.8,32.5
12/1/2024,14.5,28.3,39.7,25.1,47.1,64.3,0,3.6,22.4,0,369.7,6.4,34.1
13/1/2024,20.3,28.4,36.3,26.7,40.5,49.5,0,7.6,34.1,0,331.8,7.4,35
14/1/2024,16.5,22.7,30.3,21.9,49.3,56.1,0,7.9,28.2,0,289.1,7.4,32.5
15/1/2024,18.1,27.1,36.9,25.2,52.3,65.3,0,5.8,26.6,0,347.1,6,33.4
16/1/2024,19,25.9,34.6,24.9,73.8,81,0,5.3,34.1,7.8,241.3,6.8,33.1
17/1/2024,12.5,17.6,22.7,17.7,73,76.5,0,9.1,30.7,10.2,278.8,4.3,25.9
18/1/2024,10.9,18.1,25.4,18.1,62.6,65.8,0.5,7.8,27.4,0,400.3,4.4,25.8
