Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
31/12/2020,20,20.4,20.9,20.2,50.9,51.8,0.8,5.7,16.7,0,0,,22.3
01/01/2021,15.1,25.6,36,24.9,47.2,52.2,0,4.4,26,0,348,6.9,22.7
02/01/2021,16.6,22.9,30.9,22.7,65.1,67.5,0,7.1,30.1,0,222.3,6.4,23.2
03/01/2021,12.9,20.9,28.5,20.7,60.6,64.4,0,3.4,27.6,0,271.9,4.8,21.7
04/01/2021,15.8,21.2,27.5,21.2,55.1,56.5,0,8.6,28.5,0,345.4,5,21.5
05/01/2021,11.4,19.1,27.2,19.2,55.3,57.3,0,9,36,0,387.3,5.9,20.5
06/01/2021,12.1,19.5,26.5,19.5,50.3,52.2,0,9,31.8,0,386.4,6.4,20.1
07/01/2021,12.6,21.8,30.6,21.6,51.3,54.3,0,7.2,26.8,0,387,6.5,20.8
08/01/2021,15.8,25.4,34.4,24.5,43.6,49.7,0,4.5,20.1,0,379.1,6.7,22.3
09/01/2021,13.9,26.3,35.8,25.1,42,47.3,0,3.3,26,0,379.5,6.5,23.2
10/01/2021,14.4,27.2,36.9,25.7,40.5,46.7,0,3.4,26.8,0,377.8,6.6,23.8
11/01/2021,18.3,29.2,37.9,27.6,33.6,38.2,0,8.2,36.9,0,271.9,7.3,24.3
12/01/2021,14.5,22.6,32.6,22.4,48.8,52.8,0,5.9,27.6,0,391.1,7.1,23.2
13/01/2021,12.1,21.5,32.7,21.2,53.8,56.5,0,8.3,41.9,0,196.1,6.3,22.2
14/01/2021,9.4,18.3,26.5,18.7,56.9,57.7,0,7.3,34.3,0,383.8,4.9,21.2
15/01/2021,9.9,16.4,22.1,16.6,53.4,54.9,0,10.4,57,0,324.4,5.9,20
16/01/2021,6.5,16.9,24.8,17.2,55.5,57.6,0,5.5,47.8,0,376.6,5.1,19
17/01/2021,12.3,18.4,25.5,18.6,61,62.8,0,7.2,37.7,0,301.2,5.3,19.8
18/01/2021,10.6,18.6,27.6,18.9,58.7,60.4,0,9.4,31.8,0,374.5,5.3,20
19/01/2021,10.4,19.1,29.5,19.1,54.5,57.6,0,5.4,27.6,0,377.7,6.1,20.4
20/01/2021,10.7,20.9,32.4,20.2,36.9,43.4,0,3.6,25.1,0,374.5,6.1,20.8
21/01/2021,8.6,25.2,36.6,23.8,32.6,41.2,0,3.3,30.1,0,369.5,5.8,22
22/01/2021,9.4,24.5,35.3,23.9,30.8,36,0,4.8,26,0,372.7,6.6,22.9
23/01/2021,12.7,26,39.6,24.5,38.5,46.1,0,2.4,20.9,0,363.1,6.8,23.5
24/01/2021,21.6,32.2,42.8,30.3,25.7,30.8,0,5.7,33.5,0,281.1,6.8,24.5
25/01/2021,20.6,27.9,34.2,26.7,57.1,61.7,0,6,38.5,12.8,72,6.6,25
26/01/2021,16.2,21.1,25.6,20.9,72.4,75.7,0.8,8.5,26,0,217.9,2.5,22.8
27/01/2021,13.8,19.8,27.9,19.5,60.7,65.3,0,5.8,26,0,305.7,4.4,21
28/01/2021,15.5,23.9,32.4,22.9,50.7,57.8,0,3,16.7,0,269.8,4.7,21.7
29/01/2021,17.2,23.6,31.7,23.2,57.1,61.8,0,7.6,31.8,0.8,284.4,4.8,22.9
30/01/2021,14,20.6,28,20.5,61.2,63.5,0,8.1,34.3,0,346.3,5.8,22.2
31/01/2021,13.7,21.1,30.1,20.7,57.1,62.4,0,4.6,31,0,321.5,6,22
01/02/2021,14.7,20.3,27.2,20.1,54.2,57,0,9.3,31,0,201.4,5.1,21.8
02/02/2021,10.7,19,26.9,19,53.4,55.7,0,7.3,25.1,0,369.3,4.8,20.9
03/02/2021,11.6,19.5,29.8,19.3,55.7,60.7,0,3.7,15.9,0,359.9,5.9,21.3
04/02/2021,15.1,20.6,29.3,19.9,63.7,68.8,0,5.6,41,1.4,109.1,5.1,21.3
05/02/2021,12.5,18.5,26.2,18.6,60.1,62,0,13.8,48.6,0.8,318.2,3.4,20.4
06/02/2021,15.9,19.6,24.5,19.7,69.3,69.9,0,14.6,41,0.8,205.5,5.9,20.5
07/02/2021,14.3,18.8,25.2,18.8,64.4,66.3,0,7.3,26,0,276,3.8,20.4
08/02/2021,11,19.1,27.6,18.9,48.7,53.1,0,5.4,22.6,0,357.9,4.8,20.6
09/02/2021,12.8,20.2,30.2,19.7,52.1,57.4,0,3.9,20.9,0,238.5,5.8,21
10/02/2021,10,23.1,37,22.1,50,57.2,0,1.6,20.1,0,343.9,3.9,22
11/02/2021,15.8,29.1,39.5,28.1,36.1,38.8,0,9.5,41,0,233.3,6.2,23.9
12/02/2021,15.1,20.4,26,20.8,59.5,59.4,0,9.5,28.5,0,294.9,6.6,23.6
13/02/2021,10.5,19.2,27,19.5,60.3,60.2,0,7.2,28.5,0,328.9,4.9,22.3
14/02/2021,11.5,20.2,29.5,20.5,52.6,53.4,0,6.6,33.5,0,342.9,5.4,22.4
15/02/2021,12.4,21.3,32.7,21.5,51.4,52.9,0,3.6,29.3,0,345.9,5.8,23.2
16/02/2021,13.1,25.1,35.1,24.5,44.5,47.4,0,3.7,46.9,0,310.9,5.4,24.1
17/02/2021,18,28.7,37.3,28.1,34.7,36.9,0,5.1,23.4,0,329.9,6.1,25.3
18/02/2021,20.4,27.8,34.2,27.3,34.9,36.4,0,6,34.3,0,329.3,6.7,25.4
19/02/2021,19.7,29,38.9,28.5,35.1,37.2,0,6.2,26,0,310.6,6.7,25.6
20/02/2021,17.7,25.1,36.4,25.1,55.3,56.8,0,6,33.5,0.2,277.3,6.5,26.1
21/02/2021,15.3,20.7,28.6,20.9,54.1,54.6,0,10.3,32.7,0,316.5,6.1,24.2
22/02/2021,13.5,18.3,25.1,18.5,58.2,58.6,0,9.9,36.9,0,292.4,5.5,22.5
23/02/2021,8.5,16.6,23.6,17.1,49,49.6,0,7.8,29.3,0,336.5,5,21.2
24/02/2021,9.8,16.3,23.8,16.8,48.9,50,0,6,24.3,0,286.7,5.1,20.6
25/02/2021,9.7,17.6,25,18,56.3,56.8,0,8.1,29.3,0,328.8,4.4,20.8
26/02/2021,11.5,18.1,25.8,18.6,59.3,59.6,0,4.4,20.9,0,317.6,4.9,21.6
