Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
31/12/2019,15.5,16.5,17.5,16.5,51.6,52,1.6,8.4,22.6,0,0,,22.8
01/01/2020,10.4,20.9,30.1,20.9,44.4,46.9,0,5.8,23.4,0,371.6,6.6,22.7
02/01/2020,12.5,23,34.9,22.6,43.7,47.9,0,3.6,18.4,0,377.8,6.5,23.6
03/01/2020,11.9,27.5,41,26.4,29.5,33.9,0,5,41,0,374.7,6.4,24.9
04/01/2020,17,22.8,27.8,22.7,50.1,51.3,0.8,13.7,39.4,0,291.5,8.6,24
05/01/2020,12.3,14,17.1,14.2,79.3,80.9,0,8.4,30.1,7,54.8,6.1,19.6
06/01/2020,12.1,17.9,26.8,18.1,74.7,77.3,0,4.5,17.6,3.4,229.7,1.2,19.4
07/01/2020,13.4,23.4,32.3,23.3,54.4,56.7,0,4.5,21.8,0,358.3,4.4,22.4
08/01/2020,17,25.1,34.8,24.6,39,42.8,0,5.4,20.1,0,367.3,6.6,23.7
09/01/2020,17.4,28.7,39.3,27.6,32.7,37.6,0,4.8,18.4,0,345.4,6.9,24.3
10/01/2020,15.8,22.5,30.3,22.4,64.3,65.7,0,9.5,41,0.6,168.6,7.1,24.4
11/01/2020,11.8,19.1,26.8,19.2,55.2,56.7,0,8.9,33.5,0.2,350.4,3.7,21.7
12/01/2020,11.8,20.9,30,21,46.5,48.3,0,7.2,24.3,0,382.5,6.3,22.3
13/01/2020,12.5,25.2,35.7,24.7,38.1,42.4,0,3.5,21.8,0,368.5,6.5,24.2
14/01/2020,17,28.6,39.3,27.4,35.1,41.3,0,4.5,28.5,0,335.4,6.5,25.6
15/01/2020,16.5,22.9,32.7,22.9,55.5,56.6,0,12.6,39.4,0,310.2,7.5,24.9
16/01/2020,13.4,20.1,27.4,20.1,47.9,49.5,0.8,11,31,0,368.3,6.8,22.9
17/01/2020,11.3,18.6,26.9,18.8,44.6,46.3,0,8.9,29.3,0,384.7,6.7,22.2
18/01/2020,11.9,20.3,29.6,20.3,53.3,56.8,0,4.2,20.1,0,326,6.1,22.4
23/01/2020,12.8,18.9,23,19,41.8,42.2,0,11.4,37.7,0,135.8,,21.8
24/01/2020,8,18.8,27.3,19.3,54.1,54.5,0,6.2,28.5,0,368.7,3,21.3
25/01/2020,10.7,22,30.9,22.1,55.1,56.1,0,4.6,26.8,0,366,5.7,23.2
26/01/2020,13.9,23.5,32.5,23.6,56.8,57.9,0,6.1,26,0,355.4,6.1,24.5
27/01/2020,13.3,22.9,32.2,22.9,49,51,0,6.2,25.1,0,357,6.5,24.6
28/01/2020,11.9,23,33.6,22.6,45,48.5,0,4.7,19.3,0,326.8,6.4,24.1
29/01/2020,11.2,25.3,38.7,24.3,40.4,45.9,0,2.5,18.4,0,358.7,5.7,25
30/01/2020,19.4,29,42.9,27.5,21.5,26.5,0,6,23.4,0,437,6.7,24.2
31/01/2020,25.5,30.8,39.9,30.3,67.9,69.5,0,8.7,44.4,1,127,,28.9
01/02/2020,17.2,22.4,28.1,22.4,91,92.1,0,6.8,27.6,15.2,77.5,2.5,26
02/02/2020,14.4,19.4,25.5,19.7,66.7,67.9,0,7.7,25.1,0.8,296.4,2.3,22.7
03/02/2020,13.1,17.8,23.6,17.9,60.8,62.9,0,6.8,26,0,241.1,4.6,21.4
04/02/2020,10.5,18.1,26.1,18.4,41.8,44.4,0,6.6,41,0,362.7,4.6,21
05/02/2020,12.5,20.6,29,20.7,45.5,47.5,0,6.7,28.5,0,360.9,5.7,22
06/02/2020,14.7,22.5,33.9,22.4,54.2,56.1,0,8.2,46.9,0,281.7,6,23
07/02/2020,17.8,23.8,31.1,23.9,62.9,63.8,0,6.9,40.2,0,283.8,5.9,24.2
08/02/2020,19.9,26.4,32.9,26.2,51.6,52.7,0,10.6,35.2,0,312.4,5.7,25
09/02/2020,19.1,23.8,28.6,23.7,59.5,60.5,0,8.9,32.7,0,171,7,24.2
10/02/2020,17,24.4,32.5,24.4,53.8,55.5,0,7.1,37.7,0,322,4,24.6
