Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
22/06/2018,2,9.1,15.4,10.2,61.7,60.7,0,3.1,13.4,0,164.9,,10.6
23/06/2018,-1.4,6.8,17,7.9,69.5,68.1,0,1.6,10.8,0,132.9,0.9,9.1
24/06/2018,3.2,8.5,15.6,9.4,80.2,79.5,0,3.9,24.3,0,101.7,1,10.1
25/06/2018,0.3,5.4,11.8,6.7,77.8,77.2,0,3.3,20.9,0,92.1,0.9,9.6
26/06/2018,-1.3,5.4,12.4,6.4,79.7,79,0,3.3,22.6,0,79.7,0.8,8.4
27/06/2018,0.6,7.7,15.2,8.7,72.9,72.4,0,3.7,18.4,0,129.6,0.9,9.8
28/06/2018,-1.9,6.2,15,7,76.3,75.8,0,4,16.7,0,106.3,1,9.1
29/06/2018,5,10.3,17.5,11,61.7,61,0.8,11.2,39.4,0,102.1,1.3,10
30/06/2018,1.2,8.3,15.6,9.2,78.2,77.7,0,8.7,31,0,113.9,2,10.5
01/07/2018,-2.1,4.7,14,5.8,79.8,79.2,0,1.7,12.5,0,115,1,9.2
02/07/2018,-0.1,7.9,15.4,8.7,67.6,67.5,0,6.5,22.6,0,131.7,1,9.2
03/07/2018,4.5,10.5,19.7,11.2,51.4,51,1.6,9,26.8,0,123,1.7,10.4
04/07/2018,5.8,14.5,23.2,15,33,32.4,0,9.9,28.5,0,127,2.6,11.2
05/07/2018,10.8,17.4,25.3,17.6,38.5,38,0,13.9,46.9,0,126.6,3.5,13.9
06/07/2018,9.6,12.3,16.1,12.7,64.4,63.8,2.4,18.3,46.1,0.2,112.5,4.2,14
07/07/2018,7.2,10.9,14.6,11.3,67,66.5,2.4,19.8,52.8,0.6,115.8,2.4,12.6
08/07/2018,9.2,12.3,16.8,12.7,72.3,71.8,4.1,15.3,42.7,0,88.4,2.2,12.8
09/07/2018,9.5,11,13.8,11.5,90.4,90.1,0,7.8,26,0.8,86.7,1.6,13.2
10/07/2018,0.6,7.7,13.9,8.5,82.1,81.8,0,3.4,15.9,0,87.5,0.8,12
11/07/2018,1.5,6.6,13.5,7.6,87.4,87,0,6.4,33.5,2.6,92.9,0.9,10.2
12/07/2018,1.8,7.4,10.5,8.3,87.1,87.2,0,7,22.6,0.4,64.5,1,10.2
13/07/2018,-2.9,4.3,13.7,5.4,84.8,84.3,0,2.7,15,0.2,143,0.7,9
14/07/2018,1.4,8.4,16.6,9.2,62.3,61.7,0.8,8.2,28.5,0,147.3,1.1,9.2
15/07/2018,3.3,11.7,19.4,12.3,43.1,42.5,0.8,10,30.1,0,141.8,2.1,10.3
16/07/2018,7.4,12.9,18.1,13.5,42.4,41.5,0,12.4,40.2,0,145.9,3.7,12.5
17/07/2018,6.5,12.3,18.9,12.8,53.5,52.8,1.6,20.3,76.3,0,105.6,2.9,12
18/07/2018,4.7,11.3,19.2,12,56.5,55.7,0.8,10.9,37.7,0,142,2.8,11.6
19/07/2018,6.7,11.5,20.6,12,63.9,63.6,0.8,14.1,54.5,4,121,3.1,12.1
20/07/2018,3.1,8.1,14.3,8.9,76.6,76.5,0,10.4,39.4,0.4,117.2,1.9,10.4
21/07/2018,2.1,9,14.7,9.7,76.3,76.3,0,6.7,20.9,0,92.4,1.3,9.9
22/07/2018,5.7,11.5,17.2,12,50.4,50,2.4,13.3,37.7,0,151.7,1.7,11.2
23/07/2018,11.8,13.9,17.6,14.2,43.2,42.7,0,16.1,45.3,0.2,44.5,3.8,12
24/07/2018,8.6,14.1,20.4,14.5,66.3,65.5,0.8,14.2,49.5,0,132.8,2.6,12.5
25/07/2018,5.1,12.3,18.7,12.8,76.4,75.7,0,5.9,27.6,0,117.9,2.3,13.8
26/07/2018,4.6,12.1,20.8,12.7,70.1,69.5,0,4.8,27.6,0,137.6,1.4,13.1
27/07/2018,9.1,13.4,20.9,13.7,69,68.3,0,6.4,37.7,0.2,71.6,2,13.9
28/07/2018,7.5,13.2,19.2,13.6,72.3,71.8,0,7.2,32.7,0,99.8,1.4,13.8
29/07/2018,5.8,11.1,16.3,11.6,62,61.6,0.8,16.4,48.6,0,143.9,2.3,13.5
30/07/2018,3.8,11.1,17.4,11.7,62.7,62.2,1.6,11.4,39.4,0,138.7,2.2,12.5
31/07/2018,7.2,13.4,18.5,13.8,60.2,59.5,1.6,14.4,45.3,0,129.9,2.7,13.4
01/08/2018,6.9,11.7,19.3,12,72.4,72.5,0,6,23.4,0,124.7,2.3,13.7
02/08/2018,5.7,14.5,22.6,14.8,46.4,46.2,1.6,17.4,55.3,0,152.1,2,12.3
03/08/2018,7.6,10.9,16.7,11.5,73.1,72.4,0,11.6,53.6,9.8,69,4.3,12.1
04/08/2018,7.3,12.5,18.9,13,58.6,57.9,3.3,14.4,43.6,0,116.5,1.5,10.9
05/08/2018,9.9,14.1,22.4,14.4,44.4,43.9,5.8,20.7,52.8,0,144.5,3.7,11.9
06/08/2018,8,9.7,13.2,10.3,71.5,71.2,5.8,20.1,60.3,2.6,131.1,4.2,11.5
07/08/2018,5.4,10.2,14.9,10.8,70.4,70.1,3.3,13.4,40.2,0,122.2,1.8,10.5
08/08/2018,5.7,12.6,18.5,13,65.4,64.5,0,14.2,41,0,149.4,2.5,12.3
09/08/2018,4.4,12.2,19.9,12.8,61,60.4,0,10.5,37.7,0,173.7,2.1,11.9
10/08/2018,9.2,16,24.3,16.4,43.6,42.8,0,16.9,53.6,6.2,162.1,4,12.5
11/08/2018,5,8.6,12.5,9.3,83.1,83,1.6,13.7,65.4,6.4,137.4,3.4,11.8
12/08/2018,2.7,8.9,15.1,9.7,80.6,80.6,2.4,9.6,30.1,0,133.7,1.4,9.9
13/08/2018,6.1,10.1,14.3,10.7,80.8,80.3,0,8.2,28.5,0,91.6,1.6,10.7
14/08/2018,3.5,12.6,21.9,13.2,60.5,59.9,0.8,10.5,33.5,0,188.1,1.3,11
15/08/2018,8.7,13.8,19.5,14.2,56.9,56.3,4.1,16.2,56.1,0,124.1,4.2,12.8
16/08/2018,5.7,10.3,15.7,10.9,72.3,72,0,7.7,29.3,0,154.5,2.3,12.4
17/08/2018,2.5,11.6,19,12.2,64.6,64.2,0,9.7,35.2,0,184.8,1.8,12.1
18/08/2018,6.9,10.5,15.4,11.1,70.2,69.8,3.3,17,57.8,3.6,178.9,3,12.1
19/08/2018,4.6,9,14.9,9.7,69.8,69.6,0,12.7,43.6,0,147,2.4,10.7
20/08/2018,-0.5,7.8,14.7,8.7,69.3,68.7,0,6.2,30.1,0,179.8,1.9,10.6
21/08/2018,3.5,9.8,16,10.5,63.4,62.9,0,6.1,26,0,133.2,2.3,12.1
22/08/2018,-0.1,10.7,20.6,11.4,53.2,52.8,0,6.8,27.6,0,197.3,1.8,11.9
23/08/2018,4.8,12.7,21.2,13.2,37.2,37,4.1,15.4,37.7,0,156.3,3.6,11.7
24/08/2018,6.2,13.4,20.1,13.8,41.8,41.4,0.8,12.4,36,0,147.8,4.9,13.3
25/08/2018,2.5,11.7,20.1,12.3,55.7,55.2,0,5.9,24.3,0,201.2,2.9,13.1
26/08/2018,4.6,10.7,19.7,11.3,75.8,75.9,0,7.9,32.7,0,160.7,2.5,13.3
27/08/2018,4.7,9.7,15.9,10.3,65.2,65.2,0,7.3,25.1,0,195,2.3,13.6
28/08/2018,-0.1,9,18.1,9.6,52.7,52.7,0,7.9,25.1,0,207,2.5,12.7
29/08/2018,4.6,15,24.5,15.4,35.8,35.6,2.4,14.1,34.3,0,208.1,3.2,13.1
30/08/2018,11.1,16.1,20.2,16.4,47.6,47,0,16.7,62.9,6.4,26.7,6.3,14.4
31/08/2018,8.6,12.2,15.9,12.6,83.7,83,0,10.2,39.4,1,122,2.1,13.3
01/09/2018,9,12.7,17.2,13,74.4,73.8,0,8.8,25.1,0,129.4,1.9,13.4
02/09/2018,6.4,9.9,14.6,10.5,65.3,65,0,6.5,25.1,0,167.1,2,12.9
03/09/2018,5.1,10,16,10.6,59.4,58.9,0,6,23.4,0,228.3,2.2,12.6
04/09/2018,0.1,10.7,19.1,11.3,54.2,54,0,6.4,27.6,0,232,2.6,12.7
05/09/2018,5.1,15.1,23.4,15.5,39.4,39.2,0,9.6,38.5,0,199.5,3.4,13.4
06/09/2018,5.2,14.7,20.1,15.1,45.4,44.7,0,12.6,42.7,0,195.1,4.7,15
07/09/2018,1.2,10,17.5,10.8,62.8,62.2,0,4.6,28.5,0,195.7,3.1,13.5
08/09/2018,1.7,12.1,20.6,12.7,54.2,53.5,0,8,48.6,0,233.1,2.4,13.8
09/09/2018,6,14.8,23.8,15.2,53.3,52.5,0,8.5,33.5,0,224.6,3.7,14.8
10/09/2018,3.9,14.3,24.7,14.7,64,63.8,0,4.5,25.1,0,216.5,3.3,15.8
11/09/2018,10.5,18.6,29.2,18.9,41.7,41,0,18.3,58.6,0,195.6,3.9,16.5
12/09/2018,5.8,12.1,19.3,12.6,56.5,55.9,0,9,30.1,0,209.9,5.5,15.6
13/09/2018,1.4,11.6,20.8,12.2,57.8,57.5,0,4.3,36,0,240.4,2.9,14.9
14/09/2018,7,18.8,27.8,19.2,33.3,32.6,0,11,43.6,0,242.7,3.5,16
15/09/2018,4.8,11.4,17.7,11.8,54.9,54.8,3.3,21.7,56.1,0,212.8,6.7,15.8
16/09/2018,2.2,8.9,16.8,9.7,61.5,61.4,0,5.1,22.6,0,189.4,3,13.8
17/09/2018,1.1,13,21.9,13.6,42,41.9,0,9.7,41,0,238,2.5,14.2
18/09/2018,8,13,18,13.4,45.1,44.8,0.8,10.5,36.9,0.4,69.1,5.1,13.3
19/09/2018,4.7,10.9,18.4,11.5,63.3,62.9,0,9.9,41,2,198.9,2.3,13.1
20/09/2018,1.8,11.4,20.1,12.1,71.7,71,0,5.3,30.1,0,233.1,2.6,13.9
21/09/2018,1.9,13.1,23.3,13.7,66.3,65.8,0,3.1,20.1,0,256.8,2.9,15.4
22/09/2018,5.6,17,27.6,17.3,53.5,53,0,9.2,41,0,260.7,3.5,17
23/09/2018,6.9,13.4,20,13.8,66.8,66.5,0,8.6,26,0,182.2,4.4,16.8
24/09/2018,2,10.7,18.8,11.3,53.2,52.9,0.8,8.7,27.6,0,278.3,3.2,15.4
25/09/2018,2.7,11.4,20.4,12.1,53.5,53.1,0,6.2,26,0,271.3,3.7,15.3
26/09/2018,1.6,13.5,24.2,13.9,45.2,45.3,0,6.6,22.6,0,264.2,3.7,15.9
27/09/2018,9,16.1,23.9,16.4,47.8,47.2,0,10,31,0,275.7,4.7,17.2
28/09/2018,5.8,11.7,19.2,12.2,65.3,65.1,0,10.6,36.9,0,184.5,4,15.9
29/09/2018,-1.3,10.3,18.7,11,55.6,55.2,0,5.3,26,0,287.9,2.9,15
30/09/2018,2.7,12.8,22.4,13.3,46.5,46.5,0,7.7,29.3,0,291.5,3.7,15.6
01/10/2018,6.9,17.8,26.1,18,27.4,27.2,0,9.3,28.5,0,231.2,5,16.5
