Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - min,Humidity % - ave,Humidity % - max,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Leaf Wetness mV - ave,Soil Temp degC - ave
31/12/2023,17.2,18.2,19.2,18.5,57.5,60.7,63.9,61.6,1.4,6.3,19,0,0,,545,29.7
01/01/2024,12.1,23.7,32.1,22.1,23.1,51.5,89.6,63.8,0,4.4,25.7,0,360.6,6.3,543.2,30.3
02/01/2024,17.6,26.1,35.8,25.4,23,51,80.7,55.6,0,7.1,29.1,0,367,5.9,538.1,32
03/01/2024,16.3,21.8,28.1,21.2,46.6,72.4,88.4,78.4,0,4.3,24,0.2,109.7,6.9,547.3,29.3
04/01/2024,19,26.2,33.7,25,37,64.1,92,72,0,5.2,20.7,0,324.2,2.5,551,30.4
05/01/2024,21.1,27.5,36.8,25.2,26.9,52.4,75.3,67.3,0,3.9,18.2,0,256.8,6.4,541.6,32.4
06/01/2024,20.5,23.6,29.2,22.9,52.6,81.1,97.1,87.2,0,4.5,26.6,8.6,92.5,5.3,1026.5,29.8
07/01/2024,18.4,24,32.2,23.9,44.9,83.3,97.9,85.8,0,6.3,42.5,1.2,218.6,1.8,945.5,28
08/01/2024,17.2,21.5,27.4,21.6,48,72.7,92.4,74.8,0.5,9.7,29.9,0,302.7,4.2,550.9,28.2
09/01/2024,15,23.2,32.4,22.4,31.6,61.6,92.7,68.9,0,4.1,23.2,0,381.1,5.1,545.7,30.9
10/01/2024,14.3,23.4,32.9,22.9,25.4,55.3,91.8,59.7,0,6.7,28.2,0,384.4,6.4,542,32.1
11/01/2024,13.7,23.4,34.2,22,19.5,54.6,87.9,65.4,0,3.7,16.5,0,386.5,6.8,542.8,32.5
12/01/2024,14.5,28.3,39.7,25.1,20.4,47.1,90.2,64.3,0,3.6,22.4,0,369.7,6.4,541.6,34.1
13/01/2024,20.3,28.4,36.3,26.7,20.8,40.5,66.3,49.5,0,7.6,34.1,0,331.8,7.4,536.3,35
14/01/2024,16.5,22.7,30.3,21.9,26.8,49.3,68.3,56.1,0,7.9,28.2,0,289.1,7.4,540.5,32.5
15/01/2024,18.1,27.1,36.9,25.2,27.4,52.3,72,65.3,0,5.8,26.6,0,347.1,6,539.5,33.4
16/01/2024,19,25.9,34.6,24.9,41.1,73.8,95,81,0,5.3,34.1,7.8,241.3,6.8,707.5,33.1
17/01/2024,12.5,17.6,22.7,17.7,43.8,73,96.6,76.5,0,9.1,30.7,10.2,278.8,4.3,799.9,25.9
18/01/2024,10.9,18.1,25.4,18.1,34.7,62.6,93.5,65.8,0.5,7.8,27.4,0,400.3,4.4,550.4,25.8
19/01/2024,9.2,18.4,28.8,17.6,26.2,63.4,95.6,73.3,0,2.4,16.5,0,366.8,5.5,550,27.5
20/01/2024,16.5,27.6,38.3,25.7,14.2,35.8,63.3,45.4,0,7.2,29.1,0,363.3,5.6,537.7,30.3
21/01/2024,14.5,21.4,29.1,21.3,30.4,57.2,88.6,59.7,0,8.3,26.6,0,378.4,7.9,541.7,31
22/01/2024,14.2,21.3,31.3,20.2,19.4,52.2,77.4,62.1,0,4.7,22.4,0,378.9,6.5,542.9,30.7
