Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
31/12/2018,18,18.8,19.9,18.9,46.9,46.4,3.3,9,19.3,0,0,,24.4
01/01/2019,13.7,25.1,36.3,25.2,38,37.5,0.8,11.5,38.5,0,397.4,8.3,24.8
02/01/2019,15.5,25.9,36.2,25.9,44.5,43.9,0,8,27.6,0,371.3,8.9,25.8
03/01/2019,18,29.4,40.9,29.4,33.9,33.4,0,5.5,23.4,0,385.4,7.8,26.8
04/01/2019,16.7,28.6,44.5,28.5,36.6,36.3,0,15.8,48.6,0,352.5,8.4,26.3
05/01/2019,14.7,19.6,27.4,19.7,50.6,50.3,2.4,14.1,42.7,0,314,9.7,22.6
06/01/2019,10.9,20.6,29.8,20.8,48.6,48.1,0,9.8,31.8,0,395.1,6.5,22.5
07/01/2019,13.5,22.3,30.3,22.5,47.8,47.5,0,6.9,21.8,0,301.9,7.2,23.5
08/01/2019,13,22.3,33,22.4,50.8,50.2,0,12.2,34.3,0,388.3,5.8,23.6
09/01/2019,13,20.2,27.7,20.5,49.8,49.2,0,10.3,32.7,0,389,7.8,24.7
10/01/2019,10.6,20.7,30.9,20.9,38.9,38.6,0,6,21.8,0,338.1,6.5,24.2
11/01/2019,15.3,28,38.8,27.9,21.2,21,0,6.4,25.1,0,361.1,6.7,24.9
12/01/2019,19.6,29.1,38.6,29.1,24.7,24.3,0,11.7,45.3,0,375.2,7.8,26.1
13/01/2019,14,25.3,37.3,25.5,33.5,32.8,0,8.4,24.3,0,390.1,9.6,25.7
14/01/2019,14.1,30.2,42.8,30.2,32.9,32.3,0,4.7,24.3,0,375.2,7.8,27.2
15/01/2019,18.7,32,44.8,32,23.8,23.5,0,5,34.3,0,303.1,7.6,27.8
16/01/2019,18.6,31.4,42.6,31.3,25.5,25.2,0,5.4,24.3,0,271.2,7.5,26.9
17/01/2019,24.5,32.8,42.1,32.8,33.2,32.6,0,8.9,39.4,0,274.1,7.2,28
18/01/2019,18.6,25.5,34.9,25.5,51.3,50.9,0,10.5,38.5,0,173.7,8.1,26.1
19/01/2019,14.1,22.8,31.7,22.9,48.9,48.3,0,10.6,41.9,0,362.9,5.3,24.3
20/01/2019,15.6,25.4,35.8,25.4,41.7,41.4,0,7.4,30.1,0,349.7,7,25.3
21/01/2019,18.9,29,39.5,29,41.8,41.7,0,4.9,20.9,0,347,7.5,27.4
22/01/2019,20.4,32,42.4,31.9,34.2,33.8,0,5.9,28.5,0,338.6,6.9,28.8
23/01/2019,22.9,32.5,41.4,32.4,26.5,26.1,0,6.8,26.8,0,350.1,8.4,29.5
24/01/2019,23.7,34.8,45.6,34.6,21.5,21.2,0,7.1,22.6,0,351.6,8.8,29.2
25/01/2019,21.6,30.9,41.6,30.8,38.4,38.1,0,13.4,42.7,0,320.7,9.1,28.7
26/01/2019,17.2,24.2,32.3,24.3,55.5,55.1,0,10.8,40.2,5.8,288.8,8.6,26.9
27/01/2019,16.6,20.7,27.7,20.8,63.4,63.3,0,4.4,24.3,0,194.3,5.5,24.5
28/01/2019,13,23,33.1,23.1,50.4,50.7,0,4.3,26,0,368.9,4.2,25.1
29/01/2019,15.4,26.8,36.8,26.9,37,36.8,0,6.5,31.8,0,356.6,6.4,26.6
30/01/2019,16.5,28.7,41.4,28.6,32.1,31.9,0,11,46.1,0,344.7,7.2,27.4
31/01/2019,15.5,21.7,28.4,21.8,46.8,46.5,0,11.5,35.2,0,363.3,9.5,26.1
01/02/2019,12.6,20.6,30.1,20.9,32.6,32.7,0,8.9,35.2,0,371.2,7.3,24.3
02/02/2019,10.7,25,37.4,24.9,32.4,32.8,0,4.1,20.1,0,364,6.3,25.4
03/02/2019,20.8,30.7,42.8,30.5,23.2,23.2,0,9.7,45.3,0,317.3,7,27
04/02/2019,17.5,23.4,30.9,23.5,55.5,55.3,0,11.6,33.5,0.8,277.6,9.2,25.5
05/02/2019,15.1,24,33.4,24.1,48,47.8,0,9.1,26.8,0,345.5,5.9,25.1
